序号,股票代码,股票简称,每股收益,营业总收入-营业总收入,营业总收入-同比增长,营业总收入-季度环比增长,净利润-净利润,净利润-同比增长,净利润-季度环比增长,每股净资产,净资产收益率,每股经营现金流量,销售毛利率,所处行业,最新公告日期
1,900957,凌云B股,0.1154,122772950.85,2.3847890787,-13.2135,40277473.31,-0.54,-27.2677,1.737385406791,6.87,0.146448973811,57.2489738525,电力行业,2025-04-24
2,688755,汉邦科技,0.78,619011213.26,28.4802375782,,51497453.2,33.5527305707,,9.672214423182,8.55,1.717091979394,39.5924424405,,2025-04-24
3,688739,成大生物,1.12,1750103088.24,-3.5755146612,-10.3534,465923566.68,-34.75,-98.1479,23.049896121407,4.84,1.625664394405,83.6495233576,生物制品,2025-04-24
4,688630,芯碁微装,1.43,828855419.07,27.071162009,48.6925,179305770.17,31.28,33.0348,15.459629609127,12.17,-0.984834980134,41.2161456039,专用设备,2025-04-24
5,688578,艾力斯,1.43,2018182563.12,155.1423895369,11.8929,644174819.25,393.54,15.7093,8.849506383222,17.97,1.499221698489,96.1414111655,化学制药,2025-04-24
6,688517,金冠电气,0.59,571386168.61,-5.7463213533,66.8397,80825271.76,2.53,110.4651,5.862534389799,10.56,0.923702466374,36.6684105199,电网设备,2025-04-24
7,688398,赛特新材,0.63,839805096.65,31.691118607,4.323,106097013.89,66.14,-28.5863,8.882810904569,10.48,0.648010826638,33.034297586,化学制品,2025-04-24
8,688312,燕麦科技,0.48,326912562.39,2.8403991469,34.8971,68562591.15,-16.0,31.4727,9.188962709986,5.15,-0.032539870544,50.5203102085,专用设备,2025-04-24
9,688273,麦澜德,0.8982,340824682.52,-9.5690356304,-41.4689,89817910.06,-26.19,-80.3805,13.374864579805,6.63,1.360647691811,71.1094831214,医疗器械,2025-04-24
10,688151,华强科技,0.02,572753053.25,-2.2070677167,151.274,7925121.12,-88.36,-1640.752,12.105253402148,0.19,-0.194124759478,14.4964526525,专用设备,2025-04-24
11,688126,沪硅产业,0.068,3190301295.34,-11.3894043304,-1.9859,186542762.23,-42.61,-203.3503,5.501771281614,1.27,-0.100003508904,16.4600427109,半导体,2025-04-24
12,688112,鼎阳科技,0.98,483228037.33,21.5034106689,16.8439,155260811.3,10.29,1.7553,9.812024179155,10.24,0.667516843575,61.3030622595,仪器仪表,2025-04-24
13,688073,毕得医药,1.21,1091858561.97,30.9447294079,1.5831,109571788.68,-24.94,-112.9338,22.991575408954,5.28,-0.631445194537,39.9995425691,生物制品,2025-04-24
14,688036,传音控股,4.91,62294876799.2,33.6917485159,7.1123,5537045179.31,122.93,-7.2785,22.385302676771,31.08,14.741599360684,23.545216944,消费电子,2025-04-24
