序号,股票代码,股票简称,每股收益,营业总收入-营业总收入,营业总收入-同比增长,营业总收入-季度环比增长,净利润-净利润,净利润-同比增长,净利润-季度环比增长,每股净资产,净资产收益率,每股经营现金流量,销售毛利率,所处行业,最新公告日期
38,600467,好当家,0.03,1416060097,-9.447754647,134.4091,43427553.57,-12.17,446.6924,2.332223263,1.28,0.402552346,15.57282789,农牧饲渔,2025/4/24
39,600422,昆药集团,0.86,8401447233,-0.340797879,54.7,648081341.9,19.86,65.0822,6.940312813,9.52,1.0674921,43.45978253,中药,2025/4/24
40,600292,远达环保,0.05,4722393580,11.07297464,46.7528,35962358.62,-33.42,-244.4796,6.599145919,0.7,1.053058482,13.05394817,环保行业,2025/4/24
41,600216,浙江医药,1.21,9375216922,20.28536489,-16.434,1160510670,170.11,-41.8216,11.07292438,11.43,1.272099231,42.33156667,化学制药,2025/4/24
42,600177,雅戈尔,0.6,14188216939,3.191116769,115.2587,2767465581,-19.41,-60.4994,8.911103422,6.83,0.334296465,39.7933343,纺织服装,2025/4/24
43,301633,港迪技术,2.14,601718150.6,10.02311599,43.9448,94375075.76,9.13,0.6617,16.62801787,18.75,0.76535112,42.81817876,通用设备,2025/4/24
44,301607,富特科技,1.05,1933842513,5.377346389,44.1017,94605153.17,-1.9,-50.5475,9.008015159,13.28,0.233650139,22.28708958,汽车零部件,2025/4/24
45,301606,绿联科技,1.1832,6169673656,28.46404764,19.2989,462279689.5,19.29,22.3503,6.982106987,20.2,1.503652398,37.37586499,消费电子,2025/4/24
46,301595,太力科技,1.08,1019623912,22.07079082,,87638919.91,3.155956602,,6.047721308,19.75,1.101681279,57.55241768,,2025/4/24
47,301588,美新科技,0.53,832990471.2,5.027231308,-9.3756,58529575.97,-22.9,114.7067,7.778031526,7.07,-0.989023091,34.39437533,家用轻工,2025/4/24
48,301586,佳力奇,1.45,626834219.6,35.40668094,14.829,100405133.5,-2.05,27.8821,15.06988775,10.02,-0.685554511,28.29636676,航天航空,2025/4/24
49,301571,国科天成,1.15,960644991.4,36.92506425,18.9103,172673850,36.18,32.0231,10.20880272,11.82,-0.16337997,36.35060408,电子元件,2025/4/24
50,301567,贝隆精密,0.54,402008449.1,5.653592558,2.2382,37898414.6,-34.75,42.2595,10.32057872,5.39,0.969237767,24.47198605,消费电子,2025/4/24
51,301565,中仑新材,0.31,2473261226,5.143419143,5.7153,113150851.8,-45.13,-113.8429,5.867552889,5.73,0.853617722,11.73348283,塑料制品,2025/4/24
52,301552,科力装备,2.59,611716584.9,25.41451878,4.261,150229747.3,9.59,-2.1878,16.82995893,18.74,4.615642561,39.17163334,汽车零部件,2025/4/24
53,301550,斯菱股份,1.73,774328159.5,4.905052688,10.4265,190034942.5,26.91,25.6194,15.76899187,11.45,1.955442275,32.52154013,汽车零部件,2025/4/24
54,301529,福赛科技,1.15,1332000529,40.17471853,16.7732,97651513.52,16.05,710.5041,14.69763548,7.73,-1.133624781,25.47521863,汽车零部件,2025/4/24
55,301525,儒竞科技,1.78,1297156663,-16.01725427,-19.1458,168255440.7,-22.24,-64.7765,33.60083053,5.4,1.039494112,24.34379835,通用设备,2025/4/24
56,301509,金凯生科,0.32,497010912.7,-35.18581643,-12.2902,38609322.43,-77.76,-109.4632,17.84042106,1.79,1.28602876,35.23806469,生物制品,2025/4/24
57,301468,博盈特焊,0.53,460310746.8,-23.75922895,-12.0032,69420729.62,-47.02,-57.9308,17.60500335,3,1.051396331,27.85496171,专用设备,2025/4/24
58,301448,开创电气,0.68,837038197,42.7678495,27.7488,70387899.3,36.92,-20.4457,6.769726932,10.81,0.230132708,24.11203414,通用设备,2025/4/24
59,301446,福事特,0.7,468540836.5,11.69462502,51.6509,72396691.13,-7.25,73.0756,10.88229083,6.52,0.558713603,36.97877123,通用设备,2025/4/24
60,301439,泓淋电力,0.51,3398206651,37.06295196,-15.8845,196500961,-8.14,57.5819,7.395248357,6.89,0.028539396,12.28863942,电网设备,2025/4/24
61,301396,宏景科技,-0.69,657777887.7,-14.64136985,866.9912,-75691720.43,-279.29,-111.8617,10.89491916,-6.11,0.345198586,12.22834463,互联网服务,2025/4/24
62,301392,汇成真空,0.76,520300510.3,-0.347413858,-36.1899,68090947.27,-16.02,-33.3377,7.375086216,10.96,-0.363941403,31.74176581,专用设备,2025/4/24
63,301378,通达海,-0.52,438564667.8,-20.07905361,50.1718,-50326502.01,-192.34,86.9369,14.03515675,-3.6,-0.061203137,39.06512037,软件开发,2025/4/24
